rank,mark,wind,athlete,venue,date,year,event,gender,seconds
1,9.82,-0.2,Maurice GREENE,"Commonwealth Stadium, Edmonton (CAN)",05 AUG 2001,2001,100m,men,9.82
2,9.88,+2.0,Ato BOLDON,Oslo (NOR),13 JUL 2001,2001,100m,men,9.88
3,9.94,-0.2,Bernard WILLIAMS,"Commonwealth Stadium, Edmonton (CAN)",05 AUG 2001,2001,100m,men,9.94
4,9.98,+0.6,Francis OBIKWELU,"Olympiastadion, Berlin (GER)",31 AUG 2001,2001,100m,men,9.98
5,9.99,-0.2,Dwain CHAMBERS,"Commonwealth Stadium, Edmonton (CAN)",05 AUG 2001,2001,100m,men,9.99
6,10.02,+2.0,Nobuharu ASAHARA,Oslo (NOR),13 JUL 2001,2001,100m,men,10.02
7,10.04,-0.2,Kim COLLINS,Ciudad de Guatemala (GUA),20 JUL 2001,2001,100m,men,10.04
7,10.04,+0.4,Aziz ZAKARI,Linz (AUT),20 AUG 2001,2001,100m,men,10.04
9,10.05,+1.4,Leonard SCOTT,"Eugene, OR (USA)",31 MAY 2001,2001,100m,men,10.05
10,10.06,+1.8,Frank FREDERICKS,Rieti (ITA),02 SEP 2001,2001,100m,men,10.06
11,10.07,0.0,Chris WILLIAMS,Kingston (JAM),22 JUN 2001,2001,100m,men,10.07
11,10.07,+0.1,Deji ALIU,"Stade Olympique de la Pontaise, Lausanne (SUI)",04 JUL 2001,2001,100m,men,10.07
13,10.08,0.0,Justin GATLIN,"Eugene, OR (USA)",02 JUN 2001,2001,100m,men,10.08
14,10.09,+1.1,Shawn CRAWFORD,"Eugene, OR (USA)",21 JUN 2001,2001,100m,men,10.09
14,10.09,+0.5,Jon DRUMMOND,"Stade Louis II, Monaco (MON)",20 JUL 2001,2001,100m,men,10.09
16,10.10,+1.6,Marcus BRUNSON,"Eugene, OR (USA)",31 MAY 2001,2001,100m,men,10.1
16,10.10,+0.1,Brian LEWIS,"Stade Olympique de la Pontaise, Lausanne (SUI)",04 JUL 2001,2001,100m,men,10.1
16,10.10,+0.6,Curtis JOHNSON,Stockholm (SWE),17 JUL 2001,2001,100m,men,10.1
19,10.11,+1.9,Matt SHIRVINGTON,Perth (AUS),04 MAR 2001,2001,100m,men,10.11
19,10.11,+1.5,Lindel FRATER,"Fresno, CA (USA)",19 MAY 2001,2001,100m,men,10.11
19,10.11,+1.1,Dennis MITCHELL,"Eugene, OR (USA)",21 JUN 2001,2001,100m,men,10.11
19,10.11,+0.1,Bruny SURIN,"Stade Olympique de la Pontaise, Lausanne (SUI)",04 JUL 2001,2001,100m,men,10.11
19,10.11,-0.6,Freddy MAYOLA,Getafe (ESP),10 JUL 2001,2001,100m,men,10.11
19,10.11,-0.2,Christian MALCOLM,"Commonwealth Stadium, Edmonton (CAN)",05 AUG 2001,2001,100m,men,10.11
19,10.11,+0.6,Uchenna EMEDOLU,"Olympiastadion, Berlin (GER)",31 AUG 2001,2001,100m,men,10.11
26,10.12,-1.3,Mark LEWIS-FRANCIS,"Tallahassee, FL (USA)",14 APR 2001,2001,100m,men,10.12
26,10.12,+1.1,Patrick JARRETT,"Philadelphia, PA (USA)",28 APR 2001,2001,100m,men,10.12
28,10.13,+1.9,Kenny BROKENBURR,Perth (AUS),04 MAR 2001,2001,100m,men,10.13
28,10.13,+0.4,Llewellyn BREDWOOD,Kingston (JAM),22 JUN 2001,2001,100m,men,10.13
28,10.13,+0.7,Stéphan BUCKLAND,Ottawa (CAN),21 JUL 2001,2001,100m,men,10.13
31,10.14,0.0,Tim HARDEN,"Tempe, AZ (USA)",14 APR 2001,2001,100m,men,10.14
31,10.14,+2.0,Aristotelis GAVELAS,Tunis (TUN),11 SEP 2001,2001,100m,men,10.14
33,10.15,+0.4,Morne NAGEL,Pretoria (RSA),23 MAR 2001,2001,100m,men,10.15
33,10.15,+1.4,Konstantinos KENTERIS,"Weserstadion, Bremen (GER)",23 JUN 2001,2001,100m,men,10.15
35,10.16,+0.7,Gerald WILLIAMS,"Walnut, CA (USA)",22 APR 2001,2001,100m,men,10.16
35,10.16,+1.6,Darvis PATTON,"Arlington, TX (USA)",04 MAY 2001,2001,100m,men,10.16
35,10.16,+1.3,Darren CAMPBELL,"Austin, TX (USA)",05 MAY 2001,2001,100m,men,10.16
38,10.17,+1.5,Eric Pacome N'DRI,"Austin, TX (USA)",07 APR 2001,2001,100m,men,10.17
38,10.17,+2.0,Joshua NORMAN,"Sacramento, CA (USA)",18 MAY 2001,2001,100m,men,10.17
38,10.17,+1.4,Sean LAMBERT,"Eugene, OR (USA)",31 MAY 2001,2001,100m,men,10.17
38,10.17,+1.6,André Domingos DA SILVA,Lisboa (POR),16 JUN 2001,2001,100m,men,10.17
38,10.17,+1.0,Frédéric KRANTZ,St-Etienne (FRA),30 JUN 2001,2001,100m,men,10.17
43,10.18,+1.2,Jeffrey FOURTH,"Durham, NC (USA)",07 APR 2001,2001,100m,men,10.18
43,10.18,+0.7,Mickey GRIMES,"Eugene, OR (USA)",21 JUN 2001,2001,100m,men,10.18
43,10.18,+1.0,Antoine BOUSSOMBO,St-Etienne (FRA),30 JUN 2001,2001,100m,men,10.18
46,10.19,+1.7,Pierre BROWNE,"Austin, TX (USA)",07 APR 2001,2001,100m,men,10.19
46,10.19,+0.7,Jeff LAYNES,"Walnut, CA (USA)",22 APR 2001,2001,100m,men,10.19
46,10.19,0.0,Dwight THOMAS,Kingston (JAM),22 JUN 2001,2001,100m,men,10.19
46,10.19,+1.6,Oumar LOUM,St-Etienne (FRA),30 JUN 2001,2001,100m,men,10.19
46,10.19,+0.2,Troy DOUGLAS,"Letzigrund, Zürich (SUI)",17 AUG 2001,2001,100m,men,10.19
51,10.20,+1.2,Gerald WRIGHT,"Durham, NC (USA)",07 APR 2001,2001,100m,men,10.2
51,10.20,+1.8,Cláudio Roberto SOUZA,Sâo Caetano do Sul (BRA),21 APR 2001,2001,100m,men,10.2
51,10.20,+0.7,Kaaron CONWRIGHT,"Walnut, CA (USA)",22 APR 2001,2001,100m,men,10.2
51,10.20,0.0,Donovan BAILEY,Ingolstadt (GER),27 MAY 2001,2001,100m,men,10.2
51,10.20,+1.1,Nicolas MACROZONARIS,Sherbrooke (CAN),16 JUN 2001,2001,100m,men,10.2
51,10.20,+1.9,Haijian CHEN,Almaty (KAZ),23 JUN 2001,2001,100m,men,10.2
51,10.20,+0.7,Francesco SCUDERI,Nuoro (ITA),11 JUL 2001,2001,100m,men,10.2
58,10.21,+1.4,Jacey HARPER,"Eugene, OR (USA)",31 MAY 2001,2001,100m,men,10.21
58,10.21,0.0,Julien DUNKLEY,Kingston (JAM),22 JUN 2001,2001,100m,men,10.21
58,10.21,+0.5,Tommi HARTONEN,Vaasa (FIN),23 JUN 2001,2001,100m,men,10.21
58,10.21,+1.2,Tim GOEBEL,Stuttgart (GER),30 JUN 2001,2001,100m,men,10.21
58,10.21,+1.0,Christophe CHEVAL,St-Etienne (FRA),30 JUN 2001,2001,100m,men,10.21
64,10.22,+0.1,Terrance NEWMAN,"Tempe, AZ (USA)",24 MAR 2001,2001,100m,men,10.22
64,10.22,+2.0,Kenneth ANDAM,"Provo, UT (USA)",04 MAY 2001,2001,100m,men,10.22
64,10.22,+1.6,Kenji NARA,Kitakami (JPN),14 JUL 2001,2001,100m,men,10.22
64,10.22,+2.0,Joshua J. JOHNSON,Heusden-Zolder (BEL),14 JUL 2001,2001,100m,men,10.22
64,10.22,+1.7,Łukasz CHYŁA,Ottawa (CAN),28 JUL 2001,2001,100m,men,10.22
69,10.23,+1.8,Raphael DE OLIVEIRA,Sâo Caetano do Sul (BRA),21 APR 2001,2001,100m,men,10.23
69,10.23,+1.6,Anninos MARKOULLIDES,"Stadio Olimpico, Serravalle (SMR)",30 MAY 2001,2001,100m,men,10.23
69,10.23,+1.6,Lewis TURNER,"Eugene, OR (USA)",31 MAY 2001,2001,100m,men,10.23
69,10.23,+0.9,Jason GARDENER,Sevilla (ESP),08 JUN 2001,2001,100m,men,10.23
69,10.23,+0.9,Ricardo WILLIAMS,Kingston (JAM),22 JUN 2001,2001,100m,men,10.23
69,10.23,+1.9,Gennadiy CHERNOVOL,Almaty (KAZ),23 JUN 2001,2001,100m,men,10.23
69,10.23,+0.2,Marcin KRZYWAŃSKI,Bydgoszcz (POL),29 JUN 2001,2001,100m,men,10.23
69,10.23,+1.6,Shingo KAWABATA,Kitakami (JPN),14 JUL 2001,2001,100m,men,10.23
77,10.24,0.0,Darrel BROWN,Bridgetown (BAR),14 APR 2001,2001,100m,men,10.24
77,10.24,+0.2,Jonathan CARTER,"Eugene, OR (USA)",21 JUN 2001,2001,100m,men,10.24
77,10.24,+1.1,Jamal Abdullah AL SAFFAR,Västerås (SWE),03 JUL 2001,2001,100m,men,10.24
77,10.24,+1.7,Christopher LAMBERT,Birmingham (GBR),14 JUL 2001,2001,100m,men,10.24
81,10.25,+0.4,Kevin BRAUNSKILL,Pretoria (RSA),23 MAR 2001,2001,100m,men,10.25
81,10.25,+1.0,Patrick JOHNSON,Brisbane (AUS),24 MAR 2001,2001,100m,men,10.25
81,10.25,-0.5,Obadele THOMPSON,Bridgetown (BAR),19 MAY 2001,2001,100m,men,10.25
81,10.25,+1.5,Aaron EGBELE,"Fresno, CA (USA)",19 MAY 2001,2001,100m,men,10.25
81,10.25,+0.8,Salem Mubarak AL YAMI,Helsinki (FIN),14 JUN 2001,2001,100m,men,10.25
81,10.25,+1.6,Ibrahim MEITÉ,Reims (FRA),05 JUL 2001,2001,100m,men,10.25
81,10.25,+2.0,Corné DU PLESSIS,Heusden-Zolder (BEL),14 JUL 2001,2001,100m,men,10.25
81,10.25,+1.2,Jerome EYANA,Beijing (CHN),27 AUG 2001,2001,100m,men,10.25
81,10.25,+2.0,Dejan VOJNOVIĆ,Tunis (TUN),11 SEP 2001,2001,100m,men,10.25
81,10.25,+0.5,Hanzhao YIN,Guangzhou (CHN),18 NOV 2001,2001,100m,men,10.25
81,10.25,+0.5,Yang II LIU,Guangzhou (CHN),18 NOV 2001,2001,100m,men,10.25
94,10.26,+1.0,Paul DI BELLA,Brisbane (AUS),24 MAR 2001,2001,100m,men,10.26
94,10.26,-0.8,Devon WARD,"Los Angeles, CA (USA)",24 MAR 2001,2001,100m,men,10.26
94,10.26,+1.6,Michael FRATER,"Arlington, TX (USA)",04 MAY 2001,2001,100m,men,10.26
94,10.26,+2.0,Jabari FIELDS,"Houston, TX (USA)",18 MAY 2001,2001,100m,men,10.26
94,10.26,+1.8,Okechukwu EJIOGU,Palafrugell (ESP),19 MAY 2001,2001,100m,men,10.26
94,10.26,+0.3,Marco TORRIERI,"Bressanone, Trentino-Alto Adige (ITA)",16 JUN 2001,2001,100m,men,10.26
94,10.26,+0.5,John ERTZGAARD,Vaasa (FIN),23 JUN 2001,2001,100m,men,10.26
1,9.89,+0.9,Maurice GREENE,"Stadio Olimpico, Roma (ITA)",12 JUL 2002,2002,100m,men,9.89
2,9.94,-0.2,Frank FREDERICKS,Windhoek (NAM),13 APR 2002,2002,100m,men,9.94
2,9.94,+1.8,Shawn CRAWFORD,Osaka (JPN),11 MAY 2002,2002,100m,men,9.94
4,9.95,+1.8,Joshua J. JOHNSON,"Walnut, CA (USA)",21 APR 2002,2002,100m,men,9.95
5,9.97,+2.0,Jon DRUMMOND,"Stade Charléty, Paris (FRA)",14 SEP 2002,2002,100m,men,9.97
6,9.98,+1.4,Coby MILLER,"Portland, OR (USA)",18 MAY 2002,2002,100m,men,9.98
6,9.98,+0.2,Kim COLLINS,Manchester (GBR),27 JUL 2002,2002,100m,men,9.98
8,9.99,+0.5,Brian LEWIS,Cayenne (GUY),04 MAY 2002,2002,100m,men,9.99
8,9.99,+0.1,Bernard WILLIAMS,"Stade Louis II, Monaco (MON)",19 JUL 2002,2002,100m,men,9.99
10,10.01,+0.3,Francis OBIKWELU,Bruxelles (BEL),30 AUG 2002,2002,100m,men,10.01
11,10.03,+0.7,Deji ALIU,Athina (GRE),10 JUN 2002,2002,100m,men,10.03
12,10.04,+0.4,Mark LEWIS-FRANCIS,"Stade de France, Paris-St-Denis (FRA)",05 JUL 2002,2002,100m,men,10.04
13,10.05,+1.9,Shingo SUETSUGU,Mito (JPN),06 MAY 2002,2002,100m,men,10.05
13,10.05,+1.4,Nobuharu ASAHARA,Kanazawa (JPN),09 JUN 2002,2002,100m,men,10.05
15,10.06,-0.3,Uchenna EMEDOLU,"CM, Madrid (ESP)",20 SEP 2002,2002,100m,men,10.06
16,10.08,+2.0,Kenny BROKENBURR,"Lynchburg, VA (USA)",10 MAY 2002,2002,100m,men,10.08
17,10.09,+1.4,Greg SADDLER,St-Martin (FRA),04 MAY 2002,2002,100m,men,10.09
17,10.09,-0.6,Darrel BROWN,"National Stadium, Kingston (JAM)",17 JUL 2002,2002,100m,men,10.09
19,10.11,0.0,Issa-Aimé NTHEPÉ,Bordeaux (FRA),12 JUN 2002,2002,100m,men,10.11
